Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID (mapped data supplied by NCBI)	UniProt ID (mapped data supplied by UniProt)
DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)		NUDT20	167227	Q8IU60
DCPS	decapping enzyme, scavenger		HSPC015, HINT-5, HSL1	28960	Q96C86
DCR	Down syndrome chromosome region		DSCR	1637	
DCST1	DC-STAMP domain containing 1		FLJ32785	149095	Q5T197
DCST2	DC-STAMP domain containing 2		FLJ32934	127579	Q5T1A1
DCSTAMP	dendrocyte expressed seven transmembrane protein	TM7SF4	DC-STAMP, FIND	81501	Q9H295
DCT	dopachrome tautomerase	TYRP2		1638	P40126
DCTD	dCMP deaminase			1635	P32321
DCTN1	dynactin 1			1639	Q14203
DCTN1-AS1	DCTN1 antisense RNA 1			100189589	
DCTN2	dynactin 2 (p50)		RBP50, DCTN-50	10540	Q13561
DCTN3	dynactin 3 (p22)		DCTN-22	11258	O75935
DCTN4	dynactin 4 (p62)			51164	Q9UJW0
DCTN5	dynactin 5 (p25)		MGC3248, p25	84516	Q9BTE1
DCTN6	dynactin 6		WS-3	10671	O00399
DCTPP1	dCTP pyrophosphatase 1		MGC5627, RS21C6, CDA03, XTP3TPA	79077	Q9H773
DCUN1D1	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)		RP42, SCRO, DCUN1L1, Tes3, SCCRO	54165	Q96GG9
DCUN1D2	DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)	C13orf17	FLJ10704, FLJ20092	55208	Q6PH85
DCUN1D2-AS1	DCUN1D2 antisense RNA 1			100874228	
DCUN1D2-AS2	DCUN1D2 antisense RNA 2			100874229	
DCUN1D3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)		MGC48972, FLJ41725, DKFZp686O0290	123879	Q8IWE4
DCUN1D4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)		KIAA0276	23142	Q92564
DCUN1D5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)		MGC2714, FLJ32431	84259	Q9BTE7
DCX	doublecortin		SCLH, DC, LISX, DBCN, XLIS	1641	O43602
DCXR	dicarbonyl/L-xylulose reductase		KIDCR, DCR, SDR20C1	51181	Q7Z4W1
DDA1	DET1 and DDB1 associated 1	C19orf58	PCIA1, MGC2594	79016	Q9BW61
DDAH1	dimethylarginine dimethylaminohydrolase 1		DDAH	23576	O94760
DDAH2	dimethylarginine dimethylaminohydrolase 2			23564	O95865
DDB1	damage-specific DNA binding protein 1, 127kDa		XPE	1642	Q16531
DDB2	damage-specific DNA binding protein 2, 48kDa		DDBB, UV-DDB2, FLJ34321	1643	Q92466
DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)		AADC	1644	P20711
DDHD1	DDHD domain containing 1	SPG28	KIAA1705, PA-PLA1	80821	Q8NEL9
DDHD2	DDHD domain containing 2	SAMWD1	KIAA0725, SPG54	23259	O94830
DDI1	DNA-damage inducible 1 homolog 1 (S. cerevisiae)		FLJ36017	414301	Q8WTU0
DDI2	DNA-damage inducible 1 homolog 2 (S. cerevisiae)		MGC14844	84301	Q5TDH0
DDIT3	DNA-damage-inducible transcript 3		CHOP10, GADD153, CHOP	1649	P35638
DDIT4	DNA-damage-inducible transcript 4		RTP801, FLJ20500, REDD-1, REDD1, Dig2	54541	Q9NX09
DDIT4L	DNA-damage-inducible transcript 4-like		REDD2, Rtp801L	115265	Q96D03
DDN	dendrin		KIAA0749	23109	O94850
DDO	D-aspartate oxidase			8528	Q99489
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase		OST, KIAA0115, OST48, WBP1	1650	P39656
DDR1	discoidin domain receptor tyrosine kinase 1	NTRK4, PTK3A, NEP, CAK, EDDR1	RTK6, CD167	780	Q08345
DDR1-AS1	DDR1 antisense RNA 1 (head to head)	TIGD1L	bPG70P20.2, bCX111D4.7, bQB10J12.1	414771	
DDR2	discoidin domain receptor tyrosine kinase 2	TYRO10, NTRKR3	TKT	4921	Q16832
DDRGK1	DDRGK domain containing 1	C20orf116	dJ1187M17.3	65992	Q96HY6
DDT	D-dopachrome tautomerase		DDCT	1652	P30046
DDTL	D-dopachrome tautomerase-like			100037417	A6NHG4
DDTP1	D-dopachrome tautomerase pseudogene 1			101060160	
DDU	dermo-distortive urticaria			29764	
DDX1	DEAD (Asp-Glu-Ala-Asp) box helicase 1		DBP-RB	1653	Q92499
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	DDX3	DBX, HLP2, DDX14	1654	O00571
DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DBY		8653	O15523
DDX3YP1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked pseudogene 1			100133180	
DDX3YP2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked pseudogene 2			100874489	
DDX3YP3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked pseudogene 3			650560	
DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4		VASA	54514	Q9NQI0
DDX5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	HLR1, G17P1	p68	1655	P17844
DDX6	DEAD (Asp-Glu-Ala-Asp) box helicase 6	HLR2	RCK	1656	P26196
DDX6P1	DEAD (Asp-Glu-Ala-Asp) box helicase 6 pseudogene 1	DDX6P	DDX6-Lp, bA150A6.3	442192	
DDX6P2	DEAD (Asp-Glu-Ala-Asp) box helicase 6 pseudogene 2			100130117	
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10		HRH-J8	1662	Q13206
DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11		CHLR1, KRG2, CHL1, ChlR1, WABS	1663	Q96FC9
DDX11-AS1	DDX11 antisense RNA 1			100506660	
DDX11L1	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 1			100287102	
DDX11L2	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 2			84771	
DDX11L3	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 3			100302657	
DDX11L4	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 4			100337622	
DDX11L5	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 5			100287596	
DDX11L6	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 6				
DDX11L7	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 7				
DDX11L8	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 8			100302090	A8MPP1
DDX11L9	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 9			100288486	
DDX11L10	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 10	DDX11P, DDX11L1		100287029	
DDX11L11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 11				
DDX11L13	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 13				
DDX11L15	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 15				
DDX11L16	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 16			727856	
DDX12P	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 12, pseudogene	DDX12	CHLR2	440081	Q92771
DDX17	DEAD (Asp-Glu-Ala-Asp) box helicase 17		P72	10521	Q92841
DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18		MrDb	8886	Q9NVP1
DDX18P1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 1			319099	
DDX18P2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 2			651053	
DDX18P3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 3			442164	
DDX18P4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 4			402222	
DDX18P5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 5			646378	
DDX18P6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 6			100131370	
DDX19A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A	DDX19L	FLJ11126	55308	Q9NUU7
DDX19B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B	DDX19	DBP5	11269	Q9UMR2
DDX20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20		DP103, GEMIN3	11218	Q9UHI6
DDX20P1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20 pseudogene 1			100421369	
DDX21	DEAD (Asp-Glu-Ala-Asp) box helicase 21		RH-II/GU, GURDB	9188	Q9NR30
DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23		prp28, U5-100K, PRPF28	9416	Q9BUQ8
DDX24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24			57062	Q9GZR7
DDX25	DEAD (Asp-Glu-Ala-Asp) box helicase 25		GRTH	29118	Q9UHL0
DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B		FLJ41215	203522	Q5JSJ4
DDX26B-AS1	DDX26B antisense RNA 1			100874118	
DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27		dJ686N3.1, DRS1	55661	Q96GQ7
DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28		MDDX28, FLJ11282	55794	Q9NUL7
DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31		FLJ13633, FLJ23349, FLJ14578, PPP1R25	64794	Q9H8H2
DDX39A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A	DDX39	DDXL, BAT1L, URH49	10212	O00148
DDX39AP1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A pseudogene 1			646164	
DDX39B	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B	BAT1	D6S81E, UAP56	7919	Q13838
DDX39B-AS1	DDX39B antisense RNA 1				
DDX39BP1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B pseudogene 1	BAT1P1		100048904	
DDX39BP2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B pseudogene 2	BAT1P2	BPG309N1.15	100048923	
DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41		ABS, MGC8828	51428	Q9UJV9
DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42		RNAHP, RHELP, SF3b125	11325	Q86XP3
DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43		HAGE, DKFZp434H2114, CT13	55510	Q9NXZ2
DDX46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46		KIAA0801, FLJ25329, PRPF5, Prp5	9879	Q7L014
DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47		DKFZp564O176, FLJ30012, HQ0256, RRP3	51202	Q9H0S4
DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49		FLJ10432	54555	Q9Y6V7
DDX50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50		GU2, MGC3199, GUB, RH-II/GuB	79009	Q9BQ39
DDX50P1	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 50 pseudogene 1			192146	
DDX50P2	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 50 pseudogene 2			166070	
DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51			317781	Q8N8A6
DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52		ROK1	11056	Q9Y2R4
DDX53	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53		CAGE, CT26	168400	Q86TM3
DDX54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54		MGC2835, APR-5, DP97	79039	Q8TDD1
DDX55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55		KIAA1595	57696	Q8NHQ9
DDX56	DEAD (Asp-Glu-Ala-Asp) box helicase 56		NOH61	54606	Q9NY93
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58		RIG-I, FLJ13599, DKFZp434J1111	23586	O95786
DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59		DKFZP564B1023, ZNHIT5	83479	Q5T1V6
DDX60	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60		FLJ20035	55601	Q8IY21
DDX60L	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like		FLJ31033	91351	Q5H9U9
DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)		NUDR, SPN, ZMYND5	10522	O75398
DEC1	deleted in esophageal cancer 1		CTS9	50514	Q9P2X7
DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	DECR	SDR18C1	1666	Q16698
DECR2	2,4-dienoyl CoA reductase 2, peroxisomal		PDCR, SDR17C1	26063	Q9NUI1
DEDD	death effector domain containing		DEFT, FLDED1, CASP8IP1, KE05, DEDD1	9191	O75618
DEDD2	death effector domain containing 2		FLAME-3	162989	Q8WXF8
DEF6	differentially expressed in FDCP 6 homolog (mouse)		IBP, SLAT, SWAP70L	50619	Q9H4E7
DEF8	differentially expressed in FDCP 8 homolog (mouse)		FLJ20186	54849	Q6ZN54
DEFA1	defensin, alpha 1	DEF1, MRS, DEFA2	HNP-1	1667	P59665
DEFA1A3	defensin, alpha 1 and alpha 3, variable copy number locus		DEFA1, DEFA3, DEFT1P	613253	
DEFA1B	defensin, alpha 1B			728358	P59665
DEFA3	defensin, alpha 3, neutrophil-specific	DEF3	HNP-3	1668	P59666
DEFA4	defensin, alpha 4, corticostatin	DEF4	HP-4	1669	P12838
DEFA5	defensin, alpha 5, Paneth cell-specific	DEF5	HD-5	1670	Q01523
DEFA6	defensin, alpha 6, Paneth cell-specific		HD-6, DEF6	1671	Q01524
DEFA7P	defensin, alpha 7 pseudogene	DEFA7		724067	
DEFA8P	defensin, alpha 8 pseudogene		DEFAP1	449491	
DEFA9P	defensin, alpha 9 pseudogene		DEFAP2	449492	
DEFA10P	defensin, alpha 10 pseudogene			449493	
DEFA11P	defensin, alpha 11 pseudogene		DEFAP3	724068	
DEFB1	defensin, beta 1		HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822	1672	P60022
DEFB4A	defensin, beta 4A	DEFB102, DEFB2, DEFB4	SAP1, HBD-2, DEFB-2	1673	O15263
DEFB4B	defensin, beta 4B	DEFB4P		100289462	O15263
DEFB103A	defensin, beta 103A	DEFB3, DEFB103	HBD-3, HBP-3, HBD3, HBP3, DEFB-3	414325	P81534
DEFB103B	defensin, beta 103B			55894	P81534
DEFB104A	defensin, beta 104A	DEFB104	DEFB4, DEFB-4	140596	Q8WTQ1
DEFB104B	defensin, beta 104B			503618	Q8WTQ1
DEFB105A	defensin, beta 105A	DEFB105	DEFB-5	245908	Q8NG35
DEFB105B	defensin, beta 105B			504180	Q8NG35
DEFB106A	defensin, beta 106A	DEFB106	DEFB-6	245909	Q8N104
DEFB106B	defensin, beta 106B			503841	Q8N104
DEFB107A	defensin, beta 107A	DEFB107	DEFB-7	245910	Q8IZN7
DEFB107B	defensin, beta 107B		HsT21816	503614	Q8IZN7
DEFB108B	defensin, beta 108B			245911	Q8NET1
DEFB108P1	defensin, beta 108, pseudogene 1	DEFB108	DEFB-8, DEFB108A	503694	A8MXU0
DEFB108P2	defensin, beta 108, pseudogene 2			503837	A8MXU0
DEFB108P3	defensin, beta 108, pseudogene 3			504185	
DEFB108P4	defensin, beta 108, pseudogene 4			503840	
DEFB109P1	defensin, beta 109, pseudogene 1	DEFB109	DEFB-9, DEFB109A	245912	Q30KR1
DEFB109P1B	defensin, beta 109, pseudogene 1B			641517	Q30KR1
DEFB109P2	defensin, beta 109, pseudogene 2			503839	
DEFB109P3	defensin, beta 109, pseudogene 3			503838	
DEFB110	defensin, beta 110 locus		DEFB-10, DEFB-11, DEFB111	245913	Q30KQ9
DEFB112	defensin, beta 112		DEFB-12	245915	Q30KQ8
DEFB113	defensin, beta 113		DEFB-13	245927	Q30KQ7
DEFB114	defensin, beta 114		DEFB-14	245928	Q30KQ6
DEFB115	defensin, beta 115		DEFB-15	245929	Q30KQ5
DEFB116	defensin, beta 116		DEFB-16	245930	Q30KQ4
DEFB117	defensin, beta 117		DEFB-17	245931	
DEFB118	defensin, beta 118	C20orf63	dJ1018D12.3, DEFB-18, ESC42	117285	Q96PH6
DEFB119	defensin, beta 119	DEFB120	DEFB-19, DEFB-20	245932	Q8N690
DEFB121	defensin, beta 121		DEFB-21	245934	Q5J5C9
DEFB122	defensin, beta 122 (pseudogene)		DEFB-22, DEFB122P	245935	
DEFB123	defensin, beta 123		DEFB-23	245936	Q8N688
DEFB124	defensin, beta 124		DEFB-24	245937	Q8NES8
DEFB125	defensin, beta 125		DEFB-25	245938	Q8N687
DEFB126	defensin, beta 126	C20orf8	bA530N10.1, DEFB-26	81623	Q9BYW3
DEFB127	defensin, beta 127	C20orf73	bA530N10.2, DEF-27	140850	Q9H1M4
DEFB128	defensin, beta 128		DEFB-28	245939	Q7Z7B8
DEFB129	defensin, beta 129	C20orf87	bA530N10.3, DEFB-29	140881	Q9H1M3
DEFB130	defensin, beta 130		DEFB-30	245940	Q30KQ2
DEFB131	defensin, beta 131		DEFB-31	644414	P59861
DEFB132	defensin, beta 132		RP5-1103G7.6, DEFB32	400830	Q7Z7B7
DEFB133	defensin, beta 133			403339	Q30KQ1
DEFB134	defensin, beta 134			613211	Q4QY38
DEFB135	defensin, beta 135			613209	Q30KP9
DEFB136	defensin, beta 136		DEFB137	613210	Q30KP8
DEFT1P	defensin, theta 1 pseudogene	DEFQ1, DEFT1		170949	
DEFT1P2	defensin, theta 1 pseudogene 2			100287083	
DEGS1	delta(4)-desaturase, sphingolipid 1		MLD, Des-1, DES1, FADS7, DEGS-1	8560	O15121
DEGS2	delta(4)-desaturase, sphingolipid 2	C14orf66	DES2, FADS8	123099	Q6QHC5
DEK	DEK oncogene		D6S231E	7913	P35659
DENND1A	DENN/MADD domain containing 1A	KIAA1608	FLJ21129, FAM31A	57706	Q8TEH3
DENND1B	DENN/MADD domain containing 1B	FAM31B, C1orf218	MGC27044, FLJ20054	163486	Q6P3S1
DENND1C	DENN/MADD domain containing 1C	FAM31C	FLJ22757	79958	Q8IV53
DENND2A	DENN/MADD domain containing 2A	KIAA1277	FAM31D	27147	Q9ULE3
DENND2C	DENN/MADD domain containing 2C		FLJ37099, DKFZp686G0351, DKFZp779P1149, dJ1156J9.1, RP5-1156J9.1	163259	Q68D51
DENND2D	DENN/MADD domain containing 2D		FLJ22457, RP5-1180E21.2	79961	Q9H6A0
DENND3	DENN/MADD domain containing 3		KIAA0870	22898	A2RUS2
DENND4A	DENN/MADD domain containing 4A	MYCPBP	IRLB	10260	Q7Z401
DENND4B	DENN/MADD domain containing 4B	KIAA0476		9909	O75064
DENND4C	DENN/MADD domain containing 4C	C9orf55B, C9orf55	FLJ20686, bA513M16.3	55667	Q5VZ89
DENND5A	DENN/MADD domain containing 5A	RAB6IP1	KIAA1091, FLJ22354, FLJ33829, FLJ43455	23258	Q6IQ26
DENND5B	DENN/MADD domain containing 5B		MGC24039	160518	Q6ZUT9
DENND5B-AS1	DENND5B antisense RNA 1			100874249	
DENND6A	DENN/MADD domain containing 6A	FAM116A	FLJ34969, AFI1A	201627	Q8IWF6
DENND6B	DENN/MADD domain containing 6B	FAM116B	MGC33692, AFI1B	414918	Q8NEG7
DENR	density-regulated protein		DRP, DRP1, SMAP-3	8562	O43583
DEPDC1	DEP domain containing 1		DEP.8, FLJ20354, SDP35, DEPDC1A	55635	Q5TB30
DEPDC1B	DEP domain containing 1B		XTP1, BRCC3	55789	Q8WUY9
DEPDC1P1	DEP domain containing 1 pseudogene 1			730888	
DEPDC1P2	DEP domain containing 1 pseudogene 2			100126446	
DEPDC4	DEP domain containing 4		DEP.4, FLJ33505	120863	Q8N2C3
DEPDC5	DEP domain containing 5		KIAA0645, DEP.5	9681	O75140
DEPDC7	DEP domain containing 7			91614	Q96QD5
DEPTOR	DEP domain containing MTOR-interacting protein	DEPDC6	DEP.6, FLJ12428	64798	Q8TB45
DERA	deoxyribose-phosphate aldolase (putative)		CGI-26, DEOC	51071	Q9Y315
DERL1	derlin 1		MGC3067, PRO2577, FLJ13784, DER1, DER-1, derlin-1	79139	Q9BUN8
DERL2	derlin 2		F-LAN-1, FLANa, F-LANa, CGI-101, derlin-2	51009	Q9GZP9
DERL3	derlin 3	C22orf14	FLJ43842, MGC71803, derlin-3, IZP6	91319	Q96Q80
DES	desmin		CMD1I, CSM1, CSM2	1674	P17661
DESI1	desumoylating isopeptidase 1	FAM152B, PPPDE2	D15Wsu75e	27351	Q6ICB0
DESI2	desumoylating isopeptidase 2	C1orf121, FAM152A, PPPDE1	CGI-146, FLJ21998	51029	Q9BSY9
DET1	de-etiolated homolog 1 (Arabidopsis)		FLJ10103	55070	Q7L5Y6
DEXI	Dexi homolog (mouse)		MYLE	28955	O95424
DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide		DFF-45, DFF45, ICAD, DFF1	1676	O00273
DFFB	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)		CAD, CPAN, DFF-40, DFF40	1677	O76075
DFN4	deafness, X-linked 4, congenital sensorineural			1680	
DFN5	deafness, X-linked 5			1681	
DFN6	deafness, X-linked 6, sensorineural			1682	
DFN8	deafness, X-linked 8			1684	
DFNA5	deafness, autosomal dominant 5		ICERE-1	1687	O60443
DFNA7	deafness, autosomal dominant 7			1689	
DFNA16	deafness, autosomal dominant 16			1694	
DFNA18	deafness, autosomal dominant 18			85507	
DFNA19	deafness, autosomal dominant 19			1696	
DFNA21	deafness, autosomal dominant 21			192644	
DFNA24	deafness, autosomal dominant 24			23723	
DFNA27	deafness, autosomal dominant 27			23722	
DFNA29	deafness, autosomal dominant 29			23720	
DFNA30	deafness, autosomal dominant 30			23719	
DFNA31	deafness, autosomal dominant 31			347737	
DFNA32	deafness, autosomal dominant 32			94138	
DFNA33	deafness, autosomal dominant 33			29779	
DFNA34	deafness, autosomal dominant 34			94139	
DFNA35	deafness, autosomal dominant 35			94140	
DFNA37	deafness, autosomal dominant 37			317718	
DFNA40	deafness, autosomal dominant 40			63945	
DFNA41	deafness, autosomal dominant 41			94142	
DFNA42	deafness, autosomal dominant 42	DFNA52		347713	
DFNA43	deafness, autosomal dominant 43			192676	
DFNA45	deafness, autosomal dominant 45			246287	
DFNA46	deafness, autosomal dominant 46			246288	
DFNA47	deafness, autosomal dominant 47			246289	
DFNA49	deafness, autosomal dominant 49			317664	
DFNA52	deafness, autosomal dominant 52	DFNA42		170507	
DFNA53	deafness, autosomal dominant 53			353347	
DFNA54	deafness, autosomal dominant 54			448962	
DFNA55	deafness, autosomal dominant 55				
DFNA57	deafness, autosomal dominant 57			100093632	
DFNA58	deafness, autosomal dominant 58			100359395	
DFNA59	deafness, autosomal dominant 59			100271924	
DFNA60	deafness, autosomal dominant 60				
DFNA61	deafness, autosomal dominant 61				
DFNA62	deafness, autosomal dominant 62				
DFNA63	deafness, autosomal dominant 63				
DFNB5	deafness, autosomal recessive 5			1697	
DFNB13	deafness, autosomal recessive 13			1705	
DFNB14	deafness, autosomal recessive 14			1706	
DFNB17	deafness, autosomal recessive 17			1709	
DFNB19	deafness, autosomal recessive 19			1712	
DFNB20	deafness, autosomal recessive 20			1713	
DFNB26	deafness, autosomal recessive 26			23714	
DFNB27	deafness, autosomal recessive 27			23713	
DFNB31	deafness, autosomal recessive 31		CIP98, WHRN, USH2D	25861	Q9P202
DFNB32	deafness, autosomal recessive 32			113877	
DFNB33	deafness, autosomal recessive 33			170508	
DFNB34	deafness, autosomal recessive 34			245821	
DFNB38	deafness, autosomal recessive 38			337991	
DFNB40	deafness, autosomal recessive 40			379003	
DFNB43	deafness, autosomal recessive 43			449481	
DFNB44	deafness, autosomal recessive 44			449484	
DFNB45	deafness, autosomal recessive 45			449483	
DFNB46	deafness, autosomal recessive 46			449488	
DFNB47	deafness, autosomal recessive 47			449489	
DFNB50	deafness, autosomal recessive 50			404542	
DFNB51	deafness, autosomal recessive 51			448963	
DFNB54	deafness, autosomal recessive 54				
DFNB55	deafness, autosomal recessive 55			494148	
DFNB56	deafness, autosomal recessive 56			494149	
DFNB57	deafness, autosomal recessive 57			606523	
DFNB58	deafness, autosomal recessive 58			619211	
DFNB59	deafness, autosomal recessive 59		pejvakin	494513	Q0ZLH3
DFNB60	deafness, autosomal recessive 60			503842	
DFNB62	deafness, autosomal recessive 62			692220	
DFNB65	deafness, autosomal recessive 65			692219	
DFNB66	deafness, autosomal recessive 66			606719	
DFNB68	deafness, autosomal recessive 68			751609	
DFNB69	deafness, autosomal recessive 69			751783	
DFNB70	deafness, autosomal recessive 70			751782	
DFNB71	deafness, autosomal recessive 71			100302513	
DFNB75	deafness, autosomal recessive 75			100093716	
DFNB76	deafness, autosomal recessive 76				
DFNB78	deafness, autosomal recessive 78				
DFNB80	deafness, autosomal recessive 80				
DFNB81	deafness, autosomal recessive 81			100653390	
DFNB83	deafness, autosomal recessive 83			100359400	
DFNB85	deafness, autosomal recessive 85			100359399	
DFNB86	deafness, autosomal recessive 86			100887823	
DFNB87	deafness, autosomal recessive 87				
DFNB88	deafness, autosomal recessive 88				
DFNB89	deafness, autosomal recessive 89			100653376	
DFNB90	deafness, autosomal recessive 90				
DFNB92	deafness, autosomal recessive 92				
DFNB93	deafness, autosomal recessive 93				
DFNB94	deafness, autosomal recessive 94				
DFNB96	deafness, autosomal recessive 96			100861440	
DFNM1	deafness (recessive, nonsyndromic) modifier 1			54362	
DFNM2	deafness (mitochondrial) modifier 2			494142	
DFNY1	deafness, Y-linked 1			724074	
DGAT1	diacylglycerol O-acyltransferase 1		ARGP1, DGAT	8694	O75907
DGAT2	diacylglycerol O-acyltransferase 2			84649	Q96PD7
DGAT2L6	diacylglycerol O-acyltransferase 2-like 6		DC3, FLJ25989	347516	Q6ZPD8
DGAT2L7P	diacylglycerol O-acyltransferase 2-like 7, pseudogene			646409	Q6IED9
DGCR	DiGeorge syndrome chromosome region		CATCH22	1714	
DGCR2	DiGeorge syndrome critical region gene 2		KIAA0163, LAN, IDD, DGS-C, SEZ-12	9993	P98153
DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)		NCRNA00037, LINC00037	26220	
DGCR6	DiGeorge syndrome critical region gene 6			8214	Q14129
DGCR6L	DiGeorge syndrome critical region gene 6-like		FLJ10666	85359	Q9BY27
DGCR7	DiGeorge syndrome critical region gene 7			266621	
DGCR8	DiGeorge syndrome critical region gene 8	C22orf12	DGCRK6, Gy1, pasha	54487	Q8WYQ5
DGCR9	DiGeorge syndrome critical region gene 9		DGS-A, POM121L5P	25787	
DGCR10	DiGeorge syndrome critical region gene 10 (non-protein coding)		DGS-B	26222	
DGCR11	DiGeorge syndrome critical region gene 11 (non-protein coding)		DGS-D	25786	
DGCR12	DiGeorge syndrome critical region gene 12		DGS-E	25784	
DGCR14	DiGeorge syndrome critical region gene 14	DGCR13	DGSI, Es2el, ES2, DGS-H	8220	Q96DF8
DGKA	diacylglycerol kinase, alpha 80kDa	DAGK, DAGK1	DGK-alpha	1606	P23743
DGKB	diacylglycerol kinase, beta 90kDa	DAGK2	KIAA0718, DGK, DGK-BETA	1607	Q9Y6T7
DGKD	diacylglycerol kinase, delta 130kDa		KIAA0145, DGKdelta	8527	Q16760
DGKE	diacylglycerol kinase, epsilon 64kDa		DAGK6, DGK	8526	P52429
DGKG	diacylglycerol kinase, gamma 90kDa	DAGK3		1608	P49619
DGKH	diacylglycerol kinase, eta		DGKeta	160851	Q86XP1
DGKI	diacylglycerol kinase, iota		DGK-IOTA	9162	O75912
DGKK	diacylglycerol kinase, kappa			139189	Q5KSL6
